# Derived from en-GB-x-rp.dict by Reece H. Dunn (Cainteoir Technologies)
# https://github.com/rhdunn/en-GB-x-rp.dict
# Copyright (C) 2017 Reece H. Dunn. BSD 2-clause license.
death	1
decay	0 1
deceived	0 1
december	0 1 0
decided	0 1 0
decision	0 1 0
decora	0 1 0
decorations	2 0 1 0
decorum	0 1 0
deed	1
deep	1
deeply	1 0
defend	0 1
defiance	0 1 0
definitely	1 0 0 0
definitiveness	0 1 0 2 0
deliberate	0 1 0 0
delirious	0 1 0 0
delirium	0 1 0 0
demanded	0 1 0
demon's	1 0
densely	1 0
denser	1 0
depart	0 1
depended	0 1 0
depict	0 1
depicted	0 1 0
depopulated	0 1 0 2 0
deprived	0 1
depth	1
descended	0 1 0
descending	0 1 0
descent	0 1
describe	0 1
desert	1 0
design	0 1
designated	1 0 2 0
desire	0 1 0
desolate	1 0 0
despair	0 1
despairing	0 1 0
desperately	1 0 0 0
destined	1 0
detecting	0 1 0
devastated	1 0 2 0
devil	1 0
devotedly	0 1 0 0
devoutly	0 1 0
did	1
die	1
died	1
differ	1 0
different	1 0
difficulty	1 0 2 0
directed	0 1 0
direction	0 1 0
dirges	1 0
disappearance	2 0 1 0
disapprobation	0 2 0 1 0
disaster	0 1 0
disconcert	0 0 1
discourse	1 0
discovered	0 1 0
discussed	0 1
disease	0 1
disgust	0 1
dispelled	0 1
dispirited	0 1 0 0
displacing	0 1 0
displeased	0 1
disposed	0 1
disregarded	2 0 1 0
dissipate	1 0 2
dissolution	2 0 1 0
distant	1 0
distaste	0 1
distilled	0 1
distinctly	0 1 0
distinguish	0 1 0
distinguished	0 1 0
disturb	0 1
disturbed	0 1
divining	0 1 0
dizziness	1 0 0
do	1
dominion	0 1 0 0
dominions	0 1 0 0
done	1
door	1
doors	1
doubt	1
doubting	1 0
doubtless	1 0
doubts	1
down	1
drapery	1 0 0
draught	1
drawing	1 0
drawn	1
dreading	1 0
dream	1
dreaming	1 0
dreams	1
dreamy	1 0
dreary	1 0
dress	1
drew	1
drink	1
drinking	1 0
dripped	1
dropped	1
drops	1
drunken	1 0
duke	1
duke's	1
dull	1
during	1 0
dusk	1
dying	1 0
e	1
each	1
eagerly	1 0 0
earliest	1 0 0
earnestly	1 0 0
ears	1
earth	1
ease	1
eastern	1 0
ebony	1 0 0
eccentric	0 1 0
echo	1 0
echoed	1 0
echoes	1 0
edgar	1 0
effect	0 1
effects	0 1
egress	0 1
eighth	1
either	1 0
ejaculated	0 1 0 2 0
elbow	1 0
eleventh	0 1 0
emanating	1 0 2 0
embellishments	0 1 0 0
ember	1 0
embrace	0 1
embraced	0 1
emotion	0 1 0
emphasis	1 0 0
emphatic	0 1 0
emptied	1 0
enable	0 1 0
enchanted	0 1 0
encountered	0 1 0
encrusted	0 1 0
end	1
endeavoured	0 1 0
ends	1
endured	0 1
engaged	0 1
engagement	0 1 0
enough	0 1
entered	1 0
entertained	2 0 1
entertainment	2 0 1 0
enthusiasm	0 1 0 2 0
entrance	1 0
entranced	0 1
entreating	0 1 0
